MWSC,Name,RAJ2000,DEJ2000,d,logt,e_logt,
331,FSR_0653         ,60.955,55.419,7317,8.84,       ,
333,NGC_1496         ,61.11,52.645,1300,8.85,       ,
335,FSR_0695         ,61.455,39.2,1786,9.295,       ,
337,FSR_0663         ,61.545,51.91,1700,8.914,0.078,
338,FSR_0692         ,61.507,40.168,1520,9.32,       ,
339,FSR_0698         ,61.65,39.135,1963,8.25,       ,
341,FSR_0667         ,61.807,51.167,1818,8.08,       ,
343,NGC_1502         ,61.957,62.331,1023,7.08,       ,
345,FSR_0757         ,62.47,26.57,1900,9,       ,
346,NGC_1513         ,62.425,49.51,1400,8.5,       ,
347,FSR_0700         ,62.602,39.25,1379,9.15,       ,
348,Juchert_20       ,62.707,46.868,2812,8.225,0.176,
350,FSR_0674         ,63.094,48.728,3400,8.56,       ,
351,NGC_1557         ,63.285,-70.465,1820,9.5,       ,
352,LDN_1495W        ,63.637,28.49,1306,8.2,       ,
353,NGC_1528         ,63.847,51.19,950,8.55,       ,
355,SAI_36           ,64.207,41.075,3918,9.15,       ,
357,FSR_0765         ,64.492,26.211,2100,9.315,0.036,
358,FSR_0709         ,64.554,38.145,2200,8.69,0.04,
359,Waterloo_1       ,64.657,52.86,4400,8.6,0.078,
360,FSR_0697         ,64.672,41.526,1600,8.915,0.118,
362,IC_361           ,64.74,58.25,3000,8.982,0.022,
365,Mayer_2          ,64.938,53.175,2100,9.25,       ,
368,Berkeley_11      ,65.115,44.915,1964,8.7,       ,
369,NGC_1545         ,65.295,50.252,863,8.81,0.017,
371,NGC_1548         ,65.332,36.92,2501,9.02,0.035,
372,FSR_0762         ,65.425,27.235,2500,8.3,       ,
373,FSR_0671         ,65.617,51.855,3501,7.9,       ,
374,FSR_0741         ,65.872,33.555,4000,9.4,       ,
375,FSR_0756         ,66.054,29.715,2702,8.795,0.029,
378,FSR_0686         ,66.465,46.095,1073,7.5,       ,
380,FSR_0606         ,66.729,73.38,2499,8.476,0.074,
381,Czernik_18       ,66.957,30.945,1263,8.68,       ,
382,B_217            ,66.805,25.965,2800,9.1,       ,
383,FSR_0773         ,67.416,26.005,3000,8.6,       ,
384,FSR_0728         ,67.47,38.5,1816,8.255,0.1,
385,NGC_1579         ,67.546,35.279,730,6.58,       ,
388,NGC_1582         ,67.875,43.79,1000,8.665,0.069,
393,FSR_0804         ,68.647,21.675,2025,9.1,       ,
394,NGC_1605         ,68.73,45.275,2600,7.61,       ,
395,Platais_3        ,69.45,71.47,170,8.8,       ,
396,NGC_1641         ,68.857,-65.74,985,9.52,       ,
397,FSR_0740         ,68.907,36.098,2100,9,       ,
399,IRAS_04324+5106  ,69.09,51.18,6408,8.38,0.141,
400,FSR_0805         ,69.135,22.035,2050,8.8,       ,
404,Berkeley_67      ,69.45,50.775,2000,9.242,0.029,
407,FSR_0768         ,69.93,29.745,2289,8.85,       ,
408,NGC_1624         ,70.158,50.451,5466,6.65,       ,
410,FSR_0714         ,70.695,41.917,1819,9.06,       ,
411,FSR_0719         ,71.061,41.803,3500,8.945,       ,
412,Berkeley_68      ,71.115,42.1,1800,9.11,       ,
413,Berkeley_12      ,71.107,42.69,3300,9.6,       ,
414,FSR_0723         ,71.194,41.505,3103,8.965,0.023,
415,FSR_0733         ,71.295,39.76,1500,9.06,       ,
416,NGC_1647         ,71.497,19.17,572,8.3,0.057,
417,FSR_0717         ,71.535,42.13,1700,9.05,       ,
418,Palomar_2        ,71.524,31.382,27198,10.05,       ,
419,Alessi_2         ,71.565,55.255,520,8.698,0.033,
420,FSR_0721         ,71.559,41.976,3662,8.8,       ,
421,Ruprecht_148     ,71.637,44.739,2800,7.725,       ,
424,FSR_0767         ,71.91,31.55,3423,9.35,       ,
425,NGC_1662         ,72.112,10.925,437,8.695,0.036,
426,NGC_1663         ,72.315,13.17,1490,9.4,       ,
427,ASCC_12          ,72.481,41.719,600,8.63,0.017,
429,FSR_0742         ,72.646,38.134,1250,8.95,       ,
430,NGC_1664         ,72.808,43.66,1200,8.75,0.023,
431,FSR_0702         ,72.888,45.735,2501,8.9,       ,
432,FSR_0750         ,73.095,35.95,3000,9.455,0.018,
433,FSR_0735         ,73.504,40.84,2700,8.795,0.048,
434,FSR_0837         ,73.5,20.255,2550,9.065,0.019,
437,FSR_0643         ,73.777,65.555,3001,9.3,       ,
438,Teutsch_5        ,73.932,36.783,3001,9.38,       ,
439,Berkeley_13      ,73.942,52.815,2800,8.87,0.042,
441,Czernik_19       ,74.277,28.781,2499,7.835,       ,
442,Skiff_J0458+43.0 ,74.538,43.007,3000,8.7,       ,
446,FSR_0820         ,74.854,23.804,1600,9.25,0.054,
447,FSR_0744         ,74.865,37.965,1250,8.85,       ,
448,Berkeley_14      ,74.946,43.485,5460,9.3,       ,
449,Berkeley_14A     ,75.157,43.565,1100,6.97,       ,
451,FSR_0759         ,75.292,35.793,3801,9.2,       ,
452,FSR_0722         ,75.465,44.13,2501,8.8,       ,
453,Berkeley_15      ,75.528,44.512,1300,9.4,       ,
454,FSR_0753         ,75.54,36.766,3001,8.3,       ,
455,FSR_0732         ,75.667,42.54,2710,7,       ,
456,FSR_0690         ,75.735,50.1,1711,9,       ,
457,FSR_0734         ,75.832,42.39,1532,7.5,       ,
458,NGC_1708         ,75.859,52.865,630,8.755,0.034,
459,NGC_1724         ,75.847,49.49,2200,9,       ,
460,FSR_0771         ,75.945,32.165,1705,8.515,0.036,
461,NGC_1746         ,76.14,23.83,800,8.64,0.025,
464,FSR_0841         ,76.585,21.527,2428,8.68,       ,
465,Bica_6           ,76.582,39.165,1150,9.19,0.027,
467,Platais_4        ,76.717,22.573,275,8.55,       ,
469,SAI_41           ,76.815,38.41,3720,9.5,       ,
470,Skiff_J0507+30.8 ,76.798,30.85,5151,9.21,0.022,
471,FSR_0809         ,77.05,27.535,2500,9.2,       ,
472,NGC_1778         ,76.995,37.028,1500,8.45,       ,
473,SAI_43           ,77.067,49.873,3900,8.905,       ,
474,King_17          ,77.1,39.08,3000,7.85,       ,
475,FSR_0683         ,77.16,53.22,1522,9.2,       ,
476,FSR_0920         ,77.415,8.595,2882,8.655,       ,
477,Teutsch_132      ,77.482,38.815,4001,6.9,       ,
478,NGC_1802         ,77.527,24.18,2100,9.15,       ,
479,NGC_1807         ,77.703,16.522,2812,8.25,       ,
480,FSR_0796         ,77.742,30.205,4598,9.4,       ,
482,FSR_0716         ,77.787,45.715,4500,8.805,0.031,
483,NGC_1798         ,77.91,47.695,5247,9.3,       ,
484,NGC_1817         ,78.082,16.68,1504,8.9,       ,
486,ASCC_13          ,78.45,44.595,800,7.71,       ,
487,IRAS_05100+3723  ,78.363,37.438,2238,7.4,       ,
488,FSR_0914         ,78.396,9.68,1649,8.55,       ,
489,NGC_1851         ,78.532,-40.043,12097,10.1,       ,
490,FSR_0851         ,78.66,19.815,1092,9.15,       ,
491,Dolidze_16       ,78.649,32.66,868,7.6,       ,
492,FSR_0670         ,78.855,58.205,2007,9.005,       ,
493,ESO_252-14       ,78.99,-45.24,2180,8.655,       ,
494,FSR_0707         ,79.015,47.613,2390,9.115,       ,
495,Patchick_3       ,79.147,45.605,2991,8.905,0.026,
497,FSR_0966         ,79.38,4.418,2220,8.48,0.115,
499,BDSB_68          ,79.557,37.557,3497,8.5,       ,
500,NGC_1901         ,79.56,-68.44,406,8.85,       ,
501,FSR_0630         ,79.605,70.895,1879,9.355,0.009,
502,Kronberger_18    ,79.672,37.63,2700,7.25,       ,
503,FSR_0857         ,79.642,19.12,2056,8,       ,
504,SAI_46           ,79.912,36.5,5441,9.2,       ,
505,NGC_1857         ,80.014,39.29,3299,8.67,0.053,
506,ESO_486-54       ,80.025,-26.033,2856,8.65,0.082,
507,ASCC_14          ,80.1,35.18,1100,8.53,       ,
508,Czernik_20       ,80.115,39.54,2000,9.19,0.048,
509,Berkeley_17      ,80.155,30.59,1800,9.6,       ,
512,Berkeley_18      ,80.602,45.405,5800,9.63,       ,
513,Dolidze_17       ,80.632,7.16,1031,9.18,0.023,
514,ASCC_15          ,80.617,36.565,1400,8.685,0.098,
516,NGC_1893         ,80.707,33.43,3300,6.55,       ,
518,Collinder_62     ,80.577,41.025,1472,8.905,0.037,
521,FSR_0861         ,80.817,18.746,2070,9.025,       ,
524,Dolidze_19       ,80.928,8.16,1710,8.59,0.074,
525,Dol-Dzim_2       ,80.97,11.49,1371,9.025,0.071,
526,SAI_47           ,80.985,42.323,1523,9.2,       ,
527,Berkeley_19      ,81.003,29.567,4800,9.5,       ,
528,NGC_1904         ,81.046,-24.52,12892,10.1,       ,
529,SAI_48           ,81.055,33.477,4001,8.95,       ,
530,FSR_0964         ,81.112,5.476,2795,8.26,       ,
531,ASCC_16          ,81.037,1.64,397,7,       ,
532,Berkeley_69      ,81.097,32.608,2799,9.01,0.011,
533,FSR_0868         ,81.232,18.31,2304,8.9,       ,
534,ASCC_17          ,81.33,30.182,1850,7.265,       ,
535,FSR_0913         ,81.384,11.593,1633,8.9,       ,
536,FSR_0775         ,81.424,34.957,1300,8.72,0.13,
537,NGC_1896         ,81.414,29.26,2600,9.1,       ,
538,Berkeley_70      ,81.441,41.93,5001,9.35,       ,
539,NGC_1883         ,81.469,46.49,5752,8.545,       ,
540,Collinder_65     ,81.525,15.67,325,8.065,       ,
541,ASCC_18          ,81.562,0.9,313,7.15,       ,
542,SAI_49           ,81.607,50.79,3200,9.15,       ,
543,Czernik_21       ,81.682,36.015,4301,9.35,       ,
544,Mamajek_3        ,81.502,6.33,95,7.5,       ,
545,Dolidze_21       ,81.883,7.075,2376,9.1,       ,
546,FSR_0777         ,81.904,34.748,1173,7,       ,
547,ASCC_19          ,81.922,-1.965,314,7.5,       ,
548,Dolidze_20       ,81.937,33.785,797,7.4,       ,
550,FSR_0882         ,82,16.915,1887,9.35,0.025,
551,Waterloo_2       ,82.008,40.352,550,8.33,       ,
552,NGC_1907         ,82.02,35.325,1600,8.6,       ,
553,Stock_8          ,82.035,34.424,1731,7.05,       ,
555,Kronberger_1     ,82.087,34.785,1919,6.9,       ,
556,ASCC_20          ,82.189,1.64,394,7,       ,
557,NGC_1912         ,82.215,35.8,1144,8.35,       ,
558,ASCC_21          ,82.26,3.56,379,7.11,       ,
559,FSR_0736         ,82.281,44.77,1800,9.335,0.057,
560,FSR_0907         ,82.369,13.36,2710,9.155,0.035,
561,Teutsch_52       ,82.56,38.207,4200,8.8,       ,
564,NGC_1931         ,82.845,34.233,3001,7.06,       ,
566,FSR_0749         ,83.028,41.618,2300,8.62,0.071,
567,FSR_1017         ,83.029,-3.035,2127,9.1,       ,
568,B_30             ,82.987,12.41,772,6,       ,
569,NGC_1963         ,83.04,-36.38,1703,8.125,       ,
570,FSR_0884         ,83.08,17.178,2711,9.315,0.024,
571,FSR_0991         ,83.107,0.53,1934,8.87,0.037,
572,Berkeley_20      ,83.154,0.183,8399,9.78,       ,
574,FSR_0761         ,83.34,39.833,3741,6.55,       ,
575,Dol-Dzim_3       ,83.392,26.469,2241,8.915,       ,
576,FSR_0842         ,83.596,25.563,3816,6.55,       ,
578,FSR_0886         ,83.746,17.268,1685,9.11,       ,
579,NGC_1981         ,83.775,-4.42,388,7.11,0.001,
580,Collinder_69     ,83.835,9.83,411,6.76,       ,
582,NGC_1976         ,83.827,-5.36,458,6,       ,
586,NGC_1980         ,83.865,-5.915,520,6.67,       ,
587,NGC_1977         ,83.887,-4.83,358,6.6,       ,
591,Collinder_70     ,83.947,-0.88,379,7.4,       ,
592,Dol-Dzim_4       ,83.959,25.95,1658,8.455,0.083,
593,FSR_1027         ,84.078,-3.28,2325,9.11,       ,
594,NGC_1960         ,84.082,34.158,1200,7.565,0.078,
597,Morgan_8         ,84.112,-6.42,314,7.2,       ,
599,FSR_0807         ,84.16,31.84,1750,7,       ,
601,Koposov_36       ,84.199,31.2,1600,8.445,0.021,
603,FSR_0815         ,84.427,31.305,2153,8.655,0.021,
607,KMS_35           ,84.475,-6.956,636,6.6,       ,
608,NGC_1996         ,84.547,25.75,2056,8.515,       ,
609,FSR_0812         ,84.532,31.74,2801,7.3,       ,
612,Sigma_Ori        ,84.682,-2.6,390,6.1,       ,
614,BDSB_74          ,84.685,30.723,1715,8.45,       ,
616,Stock_10         ,84.81,37.805,500,8.42,       ,
620,FSR_0816         ,84.832,31.516,2220,7.8,       ,
622,FSR_0817         ,84.864,30.903,1359,9.05,       ,
625,Koposov_27       ,84.888,33.358,2500,8.755,0.052,
626,FSR_0930         ,85.03,11.46,2035,8.645,       ,
629,Sh2_235          ,85.177,35.92,2307,6.62,       ,
631,Sh2_235B         ,85.222,35.707,2152,6.63,       ,
634,Berkeley_71      ,85.237,32.266,3260,9.02,0.034,
635,FSR_0874         ,85.242,20.356,912,8.86,       ,
638,Teutsch_2        ,85.35,39.238,3601,8.95,       ,
639,BDSB_73          ,85.387,35.861,1110,8.875,       ,
642,FSR_0821         ,85.47,29.92,1213,9.1,       ,
643,FSR_1050         ,85.485,-5.295,1241,9.1,       ,
